 C/C++ Programming, Calculus 1, Calculus 2, Critical Thinking, Digital Logic Design, Digital Logic Design Laboratory, Discrete Mathematics, Introduction to Computing, Object-Oriented Programming, Physics 1, Writing AE1, Algorithms & Data Structures
61,88,72,74,70,57,73,64,32,51,58,1
71,71,60,53,51,99,72,80,70,62,82,1
94,79,72,66,73,79,66,98,88,61,76,1
69,60,70,67,55,97,66,66,57,54,56,1
76,86,81,74,47,83,79,78,80,69,56,1
89,89,77,87,83,96,79,78,81,93,69,1
60,85,79,60,81,99,68,81,51,60,58,1
67,58,56,54,50,61,59,54,52,67,51,1
66,60,83,55,45,85,53,67,50,42,54,1
94,77,67,74,62,97,84,92,84,71,77,1
86,59,55,60,73,98,61,70,74,59,59,1
88,97,97,73,89,83,85,93,91,78,78,1
83,63,51,73,58,61,51,64,67,51,57,1
19,68,64,62,52,84,74,86,58,51,59,0
51,64,51,60,66,71,68,55,50,51,53,0
75,87,73,66,52,97,76,86,57,76,72,1
50,63,67,50,59,94,53,63,59,34,76,1
54,73,53,57,64,99,55,80,51,67,55,1
56,66,74,62,71,81,65,70,57,58,64,1
71,63,82,77,94,100,93,80,78,56,81,1
80,89,83,83,100,100,90,85,87,82,76,1
51,53,41,62,40,71,45,63,47,54,61,0
76,59,59,53,50,71,66,63,50,63,53,1
93,50,52,66,76,97,73,79,76,57,59,1
50,62,58,54,66,52,57,38,50,51,55,1
52,77,77,63,66,68,62,61,53,62,55,0
80,64,65,65,50,93,77,78,57,64,60,0
86,66,78,67,51,70,71,68,75,74,70,1
56,73,62,62,74,83,71,67,64,71,54,1
65,67,66,71,74,74,62,71,55,78,69,1
62,78,74,70,94,80,79,80,66,66,57,1
66,86,80,60,63,73,73,79,58,60,81,1
77,58,78,64,53,69,78,51,61,78,63,1
59,75,53,54,66,80,59,74,65,61,66,1
83,61,51,80,70,99,73,72,63,50,76,0
57,79,55,62,70,77,63,54,50,53,70,1
74,88,92,83,98,99,86,87,82,82,71,1
62,78,71,60,68,86,58,57,69,52,63,1
84,96,98,78,100,100,81,67,97,96,68,1
76,84,70,87,55,85,81,70,72,60,61,1
72,65,68,55,50,69,73,73,58,68,63,1
82,57,67,77,94,76,80,68,77,58,70,1
71,79,59,64,57,66,58,57,51,64,76,1
66,90,67,72,60,77,75,62,63,62,67,1
50,71,62,71,75,76,74,55,75,61,74,1
52,73,67,75,65,51,78,57,70,71,60,1
50,73,65,54,50,69,84,60,50,50,67,1
74,84,74,66,73,77,72,57,74,72,73,1
53,60,53,55,51,71,51,71,61,60,62,0
72,78,66,50,58,84,52.5,56,56,57,63,1
57,57,59,12,0,0,18,19,20,47,15,0
52,75,59,58,66,71,0,68,43,65,35,1
80,75,59,62,65,97,71,75,69,69,68,1
74,79,82,64,65,90,84,72,81,89,63,1
83,57,66,80,74,61,71,55,50,57,58,1
68,57,75,81,68,77,68,71,59,64,73,1
50,83,68,79,65,96,62,63,50,59,61,1
63,64,58,50,61,55,71,50,53,76,60,1
67,100,90,81,82,70,73,69,74,82,69,1
52,63,50,63,36,55,63,44,46,45,62,0
60,83,86,77,73,71,81,68,78,66,73,1
62,91,88,79,80,94,86,75,85,66,64,1
73,71,89,76,73,77,78,83,80,76,77,1
55,84,67,60,51,72,77,58,51,59,70,1
53,67,71,63,51,96,50,53,67,51,63,1
64,70,63,58,67,85,77,53,58,67,54,1
57,50,78,73,50,76,71,52,59,53,63,1
88,85,56,62,59,96,75,60,80,61,54,1
50,53,54,59,58,74,78,80,52,55,73,1
73,97,100,83,94,89,92,75,86,94,65,1
54,0,54,66,0,0,0,85,58,77,57,1
68,85,65,75,89,78,84,78,72,72,68,1
23,0,54,50,26,24,0,47,18,30,34,0
65,0,73,69,56,100,0,72,84,78,62,1
77,0,92,69,87,86,0,86,81,77,71,1
50,0,55,66,75,59,0,76,46,62,57,0
60,0,18,31,47,51,0,72,61,5,48,0
61,0,27,71,58,59,0,71,74,41,62,1
77,90,82,73,72,71,0,73,65,79,64,1
87,97,100,70,85,69,0,84,89,88,70,1
61,58,78,70,59,77,0,59,60,50,57,1
51,0,38,66,35,66,0,63,36,33.5,58,1
73,72,83,72,67,63,0,81,70,74,73,1
54,24,32,60,40,70,0,67,50,27,78,0
33,52,35,4,2,25,0,49,17,0,23,0
45,55,19,51,51,84,0,74,45,45,55,1
85,53,76,69,76,71,0,71,61,54,65,1
50,82,56,75,65,90,0,66,70,59,56,1
55,66,66,72,62,90,0,73,77,60,74,1
67,87,88,86,87,100,0,84,87,76,88,1
50,65,77,77,59,74,0,68,40,54,63,1
69,53,59,71,66,69,0,74,64,61,66,1
47,52,55,49,0,24,0,58,24,62,0,0
51,47,54,58,65,54,0,66,54,51,52,0
86,0,83,79,78,82,0,89,85,94,71,1
40,51,40,40,53,54,41,51,55,63,51,1
40,40,46,40,58,61,45,43,40,54,47,1
53,77,45,40,53,70,40,56,41,49,46,1
40,41,40,40,51,47,40,40,40,38,43,0
51,52,50,40,73,40,45,55,47,45,40,1
62,52,71,49,70,84,52,74,76,64,40,1
45,47,40,40,54,53,41,53,44,62,44,0
40,49,42,40,58,40,40,53,41,60,48,0
62,51,64,50,55,64,40,44,45,62,40,0
54,47,53,41,53,53,40,43,59,60,40,1
47,54,47,40,58,67,40,60,43,63,40,1
55,58,74,40,61,73,41,40,58,57,40,1
48,53,56,45,74,84,46,65,53,70,40,1
49,51,47,50,67,64,45,54,64,61,43,1
73,58,51,40,69,64,42,41,64,63,40,1
40,60,52,40,65,50,44,52,40,66,45,1
63,46,44,40,69,73,53,57,46,66,44,1
48,56,40,55,64,40,40,52,41,56,58,1
62,55,42,40,71,50,51,46,52,63,40,1
44,48,40,40,66,67,46,43,51,65,53,1
59,42,60,42,65,70,46,52,52,58,40,1
68,57,57,40,73,79,46,61,61,71,55,1
55,45,40,40,41,61,40,40,45,56,41,0
40,40,40,47,61,70,40,40,50,41,41,0
53,40,40,40,54,70,40,55,44,55,46,1
60,49,40,40,40,61,42,54,40,47,47,0
74,61,68,55,69,76,53,56,58,58,40,1
53,77,64,40,56,43,56,53,52,58,49,1
58,85,42,41,43,80,53,71,44,64,41,1
61,76,62,53,60,80,64,71,70,70,58,1
57,84,63,52,73,53,71,58,64,57,55,1
58,60,40,40,40,67,72,47,42,48,42,1
46,75,47,40,40,50,60,59,54,60,47,1
56,76,45,40,41,73,52,40,41,55,48,1
47,62,48,40,43,50,42,44,42,51,40,1
54,74,61,50,61,63,63,51,60,64,40,1
74,79,45,44,65,67,53,48,50,71,54,1
64,74,43,40,44,50,52,46,50,62,41,1
69,81,49,50,41,43,44,56,40,63,51,1
65,67,65,57,76,77,51,56,50,63,54,1
75,76,83,62,59,77,52,61,86,71,59,1
65,71,58,49,50,48,47,62,40,50,41,1
57,78,40,40,43,47,41,41,40,66,48,1
56,81,58,56,59,43,66,59,50,52,54,1
63,70,41,43,60,73,48,56,58,69,50,1
72,68,57,51,59,67,53,64,40,61,49,1
57,70,56,47,72,53,52,62,40,67,41,1
58,74,41,43,40,47,41,40,44,52,52,1
59,66,54,40,43,53,47,64,40,61,51,1
66,81,44,48,59,70,61,52,50,55,54,1
62,74,77,43,81,70,62,66,70,64,53,1
56,82,44,50,43,57,44,45,45,60,48,1
68,65,52,42,45,80,52,55,50,58,40,0
67,80,51,50,71,77,60,71,48,60,45,1
60,80,48,52,62,60,50,59,60,61,54,1
49,77,46,40,44,60,42,51,50,52,50,1
73,72,50,40,81,77,40,44,40,53,45,1
46,65,59,50,41,47,54,55,50,65,44,1
68,64,41,50,51,53,51,58,50,64,46,1
64,60,50,40,58,60,43,42,51,61,45,1
76,45,40,43,53,64,42,57,56,53,40,1
45,41,49,40,44,56,40,44,55,57,44,1
45,40,40,41,42,50,40,41,40,51,50,1
52,43,53,44,75,47,50,50,63,64,48,1
66,70,42,40,73,80,46,40,43,50,45,1
60,79,74,72,61,90,65,53,50,68,54,1
58,74,44,53,43,50,41,60,40,58,43,1
68,56,43,48,43,40,44,41,40,69,51,1
53,63,48,40,40,63,55,47,47,54,52,1
40,62,42,41,40,43,40,40,40,56,41,1
63,62,41,41,41,73,50,50,40,57,42,1
55,67,51,55,45,67,53,51,40,40,41,1
54,56,40,41,41,63,41,40,40,52,41,1
57,50,77,55,63,49,70,40,67,64,41,1
50,60,48,41,59,63,41,57,41,60,52,1
49,50,48,48,58,45,61,54,40,57,40,1
40,50,40,40,48,51,47,46,54,56,40,1
50,70,60,60,45,73,71,63,60,54,53,1
49,47,40,45,50,41,40,40,46,49,41,1
47,40,57,48,40,51,40,45,40,59,45,1
59,48,40,69,46,40,44,40,51,59,46,1
67,46,40,62,45,50,40,40,57,61,51,1
47,41,43,40,40,66,46,40,41,58,62,1
71,53,40,54,56,60,45,44,40,61,60,1
40,48,63,50,52,47,45,43,42,59,64,1
54,50,50,41,68,54,50,40,40,58,52,1
61,57,46,52,41,75,50,40,40,65,40,1
54,56,40,41,41,63,41,40,40,52,41,0
46,46,40,41,45,50,41,60,41,55,41,1
57,50,77,55,63,49,70,40,67,64,41,1
50,60,48,41,59,63,41,57,41,60,52,1
49,50,48,48,58,45,61,54,40,57,40,1
40,50,40,40,48,51,47,46,54,56,40,1
42,60,57,49,40,47,48,51,40,54,44,1
50,70,60,60,45,73,71,63,60,54,53,1
49,47,40,45,50,41,40,40,46,49,41,1
47,40,57,48,40,51,40,45,40,59,45,1
59,48,40,69,46,40,44,40,51,59,46,1
67,46,40,62,45,50,40,40,57,61,51,1
47,41,43,40,40,66,46,40,41,58,62,1
71,53,40,54,56,60,45,44,40,61,60,1
59,62,79,58,66,69,72,51,57,68,65,1
40,48,63,50,52,47,45,43,42,59,64,1
54,50,50,41,68,54,50,40,40,58,52,1
76,75,50,52,45,78,53,77,69,59,44,1
41,45,47,53,50,51,70,64,56,49,56,1
61,49,51,44,89,69,66,57,50,69,71,1
53,53,52,50,60,53,49,63,40,50,30,1
63,45,50,45,40,50,64,40,40,51,40,1
63,49,54,49,68,54,40,41,45,64,66,1
48,49,47,52,54,55,47,40,44,40,52,1
60,50,40,44,48,52,40,43,40,42,40,1
70,77,40,40,57,62,41,47,41,54,40,1
57,51,40,43,47,61,54,47,43,52,47,1
70,62,40,40,45,66,40,40,40,60,41,1
63,65,45,42,56,55,64,43,40,45,43,1
67,50,40,43,70,78,40,56,40,68,43,1
56,58,40,49,56,55,40,61,40,59,43,1
64,60,56,41,67,69,49,49,45,56,57,1
62,58,45,47,64,65,40,40,43,57,56,1
62,64,79,60,58,68,83,84,75,65,64,1
77,65,71,43,73,75,70,40,55,69,62,1
56,45,50,41,53,58,47,40,40,60,40,1
62,44,42,45,53,64,40,50,40,50,40,1
65,74,80,56,64,69,63,77,60,74,63,1
57,60,55,42,56,48,40,43,40,61,60,1
51,61,50,43,41,51,46,41,42,49,40,1
48,50,40,40,64,46,40,53,40,66,50,1
53,52,50,51,58,69,51,50,43,57,44,1
41,51,53,40,58,56,40,40,40,59,40,1
64,57,53,49,61,77,64,41,52,63,48,1
56,56,46,40,58,42,40,41,41,67,50,1
64,63,40,51,67,68,43,40,42,67,40,1
47,61,40,51,67,71,51,40,50,56,44,1
65,61,56,44,53,64,40,40,40,60,40,1
60,43,47,40,67,40,40,41,40,61,58,1
66,62,48,48,73,58,66,59,45,58,40,1
55,63,46,42,81,68,49,46,52,67,45,1
